'Elapsed time','Abdomen_1'
'0:00.000',-8.800
'0:00.001',-13.900
'0:00.002',-18.700
'0:00.003',-23.400
'0:00.004',-27.900
'0:00.005',-32.801
'0:00.006',-38.101
'0:00.007',-43.801
'0:00.008',-49.301
'0:00.009',-54.001
'0:00.010',-57.501
'0:00.011',-59.501
'0:00.012',-60.401
'0:00.013',-60.501
'0:00.014',-60.301
'0:00.015',-59.701
'0:00.016',-58.901
'0:00.017',-57.601
'0:00.018',-55.701
'0:00.019',-53.001
'0:00.020',-49.401
'0:00.021',-44.901
'0:00.022',-39.601
'0:00.023',-33.701
'0:00.024',-27.800
'0:00.025',-22.200
'0:00.026',-17.200
'0:00.027',-12.900
'0:00.028',-9.400
'0:00.029',-6.600
'0:00.030',-4.500
'0:00.031',-2.700
'0:00.032',-1.100
'0:00.033',0.700
'0:00.034',2.700
'0:00.035',4.600
'0:00.036',6.000
'0:00.037',6.400
'0:00.038',5.700
'0:00.039',4.300
'0:00.040',2.700
'0:00.041',1.800
'0:00.042',2.000
'0:00.043',2.900
'0:00.044',4.100
'0:00.045',4.700
'0:00.046',4.500
'0:00.047',3.500
'0:00.048',2.300
'0:00.049',1.400
'0:00.050',1.000
'0:00.051',1.100
'0:00.052',1.300
'0:00.053',1.300
'0:00.054',1.000
'0:00.055',0.700
'0:00.056',0.500
'0:00.057',0.600
'0:00.058',0.700
'0:00.059',0.700
'0:00.060',0.400
'0:00.061',-0.100
'0:00.062',-0.700
'0:00.063',-0.900
'0:00.064',-0.500
'0:00.065',0.100
'0:00.066',0.800
'0:00.067',1.100
'0:00.068',1.000
'0:00.069',0.600
'0:00.070',0.400
'0:00.071',0.800
'0:00.072',1.800
'0:00.073',3.000
'0:00.074',3.900
'0:00.075',4.200
'0:00.076',3.600
'0:00.077',2.600
'0:00.078',1.500
'0:00.079',0.700
'0:00.080',0.300
'0:00.081',0.200
'0:00.082',0.300
'0:00.083',0.400
'0:00.084',0.400
'0:00.085',0.300
'0:00.086',-0.100
'0:00.087',-0.900
'0:00.088',-1.800
'0:00.089',-2.500
'0:00.090',-2.500
'0:00.091',-1.600
'0:00.092',0.000
'0:00.093',1.500
'0:00.094',2.300
'0:00.095',2.300
'0:00.096',1.400
'0:00.097',0.300
'0:00.098',-0.400
'0:00.099',-0.700
'0:00.100',-0.600
'0:00.101',-0.400
'0:00.102',-0.300
'0:00.103',-0.500
'0:00.104',-0.700
'0:00.105',-0.800
'0:00.106',-0.800
'0:00.107',-0.600
'0:00.108',-0.300
'0:00.109',-0.200
'0:00.110',-0.100
'0:00.111',-0.100
'0:00.112',0.000
'0:00.113',0.100
'0:00.114',0.300
'0:00.115',0.500
'0:00.116',0.800
'0:00.117',1.300
'0:00.118',1.700
'0:00.119',2.000
'0:00.120',2.200
'0:00.121',2.200
'0:00.122',2.200
'0:00.123',2.400
'0:00.124',2.800
'0:00.125',3.500
'0:00.126',4.200
'0:00.127',4.500
'0:00.128',4.500
'0:00.129',4.300
'0:00.130',4.200
'0:00.131',4.600
'0:00.132',5.400
'0:00.133',6.300
'0:00.134',6.600
'0:00.135',5.900
'0:00.136',4.200
'0:00.137',2.300
'0:00.138',0.700
'0:00.139',0.000
'0:00.140',0.200
'0:00.141',0.700
'0:00.142',0.600
'0:00.143',-0.200
'0:00.144',-1.700
'0:00.145',-3.100
'0:00.146',-4.000
'0:00.147',-4.000
'0:00.148',-3.600
'0:00.149',-3.200
'0:00.150',-3.300
'0:00.151',-3.900
'0:00.152',-4.600
'0:00.153',-5.100
'0:00.154',-5.400
'0:00.155',-5.600
'0:00.156',-5.900
'0:00.157',-6.400
'0:00.158',-7.100
'0:00.159',-7.600
'0:00.160',-7.900
'0:00.161',-8.100
'0:00.162',-8.600
'0:00.163',-9.300
'0:00.164',-10.100
'0:00.165',-10.600
'0:00.166',-10.500
'0:00.167',-9.600
'0:00.168',-8.500
'0:00.169',-7.400
'0:00.170',-6.700
'0:00.171',-6.300
'0:00.172',-5.900
'0:00.173',-5.000
'0:00.174',-3.500
'0:00.175',-1.400
'0:00.176',1.200
'0:00.177',4.000
'0:00.178',6.900
'0:00.179',9.600
'0:00.180',11.800
'0:00.181',12.900
'0:00.182',12.600
'0:00.183',10.800
'0:00.184',8.100
'0:00.185',5.100
'0:00.186',2.100
'0:00.187',-0.500
'0:00.188',-3.100
'0:00.189',-5.900
'0:00.190',-9.100
'0:00.191',-12.300
'0:00.192',-15.100
'0:00.193',-17.000
'0:00.194',-17.700
'0:00.195',-17.400
'0:00.196',-16.500
'0:00.197',-15.600
'0:00.198',-14.900
'0:00.199',-14.800
'0:00.200',-14.800
'0:00.201',-14.700
'0:00.202',-14.100
'0:00.203',-12.900
'0:00.204',-11.300
'0:00.205',-9.900
'0:00.206',-9.100
'0:00.207',-9.200
'0:00.208',-10.000
'0:00.209',-11.100
'0:00.210',-12.000
'0:00.211',-12.700
'0:00.212',-13.300
'0:00.213',-14.000
'0:00.214',-15.000
'0:00.215',-16.200
'0:00.216',-17.200
'0:00.217',-17.800
'0:00.218',-17.900
'0:00.219',-17.700
'0:00.220',-17.500
'0:00.221',-17.400
'0:00.222',-17.400
'0:00.223',-17.300
'0:00.224',-16.800
'0:00.225',-16.000
'0:00.226',-15.100
'0:00.227',-14.300
'0:00.228',-13.700
'0:00.229',-13.100
'0:00.230',-12.400
'0:00.231',-11.500
'0:00.232',-10.500
'0:00.233',-9.800
'0:00.234',-9.900
'0:00.235',-10.900
'0:00.236',-12.500
'0:00.237',-14.200
'0:00.238',-15.600
'0:00.239',-16.300
'0:00.240',-16.700
'0:00.241',-17.000
'0:00.242',-17.600
'0:00.243',-18.600
'0:00.244',-19.800
'0:00.245',-20.600
'0:00.246',-21.000
'0:00.247',-20.800
'0:00.248',-20.200
'0:00.249',-19.500
'0:00.250',-19.100
'0:00.251',-19.000
'0:00.252',-19.100
'0:00.253',-19.300
'0:00.254',-19.600
'0:00.255',-19.800
'0:00.256',-19.900
'0:00.257',-19.900
'0:00.258',-19.800
'0:00.259',-19.500
'0:00.260',-18.900
'0:00.261',-17.900
'0:00.262',-16.800
'0:00.263',-15.600
'0:00.264',-14.600
'0:00.265',-13.800
'0:00.266',-13.300
'0:00.267',-12.900
'0:00.268',-12.200
'0:00.269',-11.300
'0:00.270',-10.100
'0:00.271',-8.900
'0:00.272',-8.200
'0:00.273',-8.000
'0:00.274',-8.200
'0:00.275',-8.300
'0:00.276',-7.800
'0:00.277',-6.500
'0:00.278',-4.500
'0:00.279',-2.300
'0:00.280',-0.500
'0:00.281',0.500
'0:00.282',0.800
'0:00.283',0.900
'0:00.284',1.000
'0:00.285',1.500
'0:00.286',2.200
'0:00.287',2.700
'0:00.288',2.800
'0:00.289',2.400
'0:00.290',1.900
'0:00.291',1.500
'0:00.292',1.500
'0:00.293',2.100
'0:00.294',3.100
'0:00.295',4.300
'0:00.296',5.500
'0:00.297',6.600
'0:00.298',7.400
'0:00.299',7.800
'0:00.300',7.900
'0:00.301',7.800
'0:00.302',7.500
'0:00.303',7.100
'0:00.304',6.600
'0:00.305',6.000
'0:00.306',5.300
'0:00.307',4.700
'0:00.308',4.100
'0:00.309',3.900
'0:00.310',4.000
'0:00.311',4.300
'0:00.312',4.600
'0:00.313',4.800
'0:00.314',4.800
'0:00.315',4.900
'0:00.316',5.300
'0:00.317',5.700
'0:00.318',6.100
'0:00.319',6.200
'0:00.320',6.000
'0:00.321',5.800
'0:00.322',5.600
'0:00.323',5.800
'0:00.324',6.300
'0:00.325',6.700
'0:00.326',7.000
'0:00.327',7.100
'0:00.328',7.000
'0:00.329',7.200
'0:00.330',7.700
'0:00.331',8.600
'0:00.332',9.800
'0:00.333',11.000
'0:00.334',11.900
'0:00.335',12.400
'0:00.336',12.400
'0:00.337',12.000
'0:00.338',11.300
'0:00.339',10.500
'0:00.340',9.700
'0:00.341',9.100
'0:00.342',8.500
'0:00.343',7.800
'0:00.344',6.900
'0:00.345',6.000
'0:00.346',5.400
'0:00.347',5.300
'0:00.348',5.800
'0:00.349',6.600
'0:00.350',7.300
'0:00.351',7.600
'0:00.352',7.300
'0:00.353',6.600
'0:00.354',6.000
'0:00.355',5.700
'0:00.356',5.800
'0:00.357',6.100
'0:00.358',6.000
'0:00.359',5.300
'0:00.360',4.100
'0:00.361',2.800
'0:00.362',1.900
'0:00.363',1.700
'0:00.364',2.000
'0:00.365',2.500
'0:00.366',2.800
'0:00.367',3.000
'0:00.368',3.000
'0:00.369',3.200
'0:00.370',3.600
'0:00.371',4.000
'0:00.372',4.100
'0:00.373',3.800
'0:00.374',3.300
'0:00.375',2.900
'0:00.376',3.000
'0:00.377',3.500
'0:00.378',4.400
'0:00.379',5.200
'0:00.380',5.900
'0:00.381',6.500
'0:00.382',7.000
'0:00.383',7.500
'0:00.384',7.900
'0:00.385',8.000
'0:00.386',7.700
'0:00.387',7.200
'0:00.388',6.700
'0:00.389',6.300
'0:00.390',6.200
'0:00.391',6.300
'0:00.392',6.400
'0:00.393',6.400
'0:00.394',6.200
'0:00.395',6.000
'0:00.396',5.800
'0:00.397',5.600
'0:00.398',5.700
'0:00.399',5.900
'0:00.400',6.300
'0:00.401',6.700
'0:00.402',6.800
'0:00.403',6.500
