'Elapsed time','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'hh:mm:ss.mmm','uV','uV','uV','uV','uV',''
'0:00.000',28.800,-8.800,13.400,22.100,32.600,0.688
'0:00.001',26.700,-13.900,12.700,21.800,35.401,0.688
'0:00.002',24.800,-18.700,12.100,21.300,37.601,0.688
'0:00.003',23.800,-23.400,11.500,20.300,39.001,0.688
'0:00.004',23.600,-27.900,10.500,18.600,39.501,0.688
'0:00.005',23.700,-32.801,8.700,16.000,39.301,0.688
'0:00.006',23.700,-38.101,6.100,12.700,38.801,0.688
'0:00.007',23.700,-43.801,2.900,9.000,38.201,0.688
'0:00.008',23.800,-49.301,-0.300,5.400,37.501,0.688
'0:00.009',24.400,-54.001,-3.200,2.300,36.601,0.688
'0:00.010',25.400,-57.501,-5.300,0.000,35.301,0.578
'0:00.011',26.500,-59.501,-6.400,-1.600,33.501,0.578
'0:00.012',27.400,-60.401,-6.700,-2.500,31.600,0.578
'0:00.013',27.900,-60.501,-6.200,-2.900,30.000,0.578
'0:00.014',28.300,-60.301,-5.500,-2.700,29.100,0.578
'0:00.015',28.600,-59.701,-4.700,-1.900,29.100,0.578
'0:00.016',28.900,-58.901,-4.200,-0.700,29.600,0.578
'0:00.017',28.900,-57.601,-4.000,0.700,30.100,0.578
'0:00.018',28.500,-55.701,-3.800,1.600,29.700,0.578
'0:00.019',27.800,-53.001,-3.600,1.500,27.800,0.578
'0:00.020',27.600,-49.401,-3.300,0.200,24.100,0.668
'0:00.021',28.400,-44.901,-3.000,-2.100,18.800,0.668
'0:00.022',30.400,-39.601,-3.100,-4.700,12.600,0.668
'0:00.023',32.901,-33.701,-3.800,-6.900,6.200,0.668
'0:00.024',34.701,-27.800,-5.000,-8.400,0.100,0.668
'0:00.025',35.001,-22.200,-6.400,-9.300,-4.900,0.668
'0:00.026',33.901,-17.200,-7.700,-9.900,-8.700,0.668
'0:00.027',32.200,-12.900,-8.400,-10.600,-11.200,0.668
'0:00.028',31.500,-9.400,-8.800,-11.300,-12.700,0.668
'0:00.029',32.801,-6.600,-8.800,-11.900,-13.400,0.668
'0:00.030',35.901,-4.500,-8.600,-12.200,-13.600,0.680
'0:00.031',39.901,-2.700,-8.500,-11.900,-13.500,0.680
'0:00.032',43.301,-1.100,-8.400,-11.300,-13.500,0.680
'0:00.033',45.101,0.700,-8.300,-10.600,-13.900,0.680
'0:00.034',45.401,2.700,-8.300,-10.300,-14.800,0.680
'0:00.035',45.001,4.600,-8.600,-10.500,-16.300,0.680
'0:00.036',44.801,6.000,-9.600,-11.400,-18.500,0.680
'0:00.037',45.301,6.400,-11.400,-12.800,-20.900,0.680
'0:00.038',46.201,5.700,-13.600,-14.300,-23.300,0.680
'0:00.039',46.601,4.300,-15.800,-15.500,-25.000,0.680
'0:00.040',46.001,2.700,-17.400,-16.000,-25.900,0.720
'0:00.041',44.801,1.800,-18.000,-15.500,-25.800,0.720
'0:00.042',43.901,2.000,-17.800,-14.100,-25.000,0.720
'0:00.043',44.201,2.900,-17.000,-12.200,-24.200,0.720
'0:00.044',46.201,4.100,-16.200,-10.300,-23.600,0.720
'0:00.045',48.901,4.700,-15.800,-8.900,-23.300,0.720
'0:00.046',50.701,4.500,-15.700,-8.300,-23.200,0.720
'0:00.047',50.101,3.500,-15.700,-8.300,-22.800,0.720
'0:00.048',46.901,2.300,-15.700,-8.600,-21.900,0.720
'0:00.049',42.301,1.400,-15.500,-8.800,-20.600,0.720
'0:00.050',38.501,1.000,-15.100,-8.600,-19.000,0.579
'0:00.051',37.101,1.100,-14.600,-8.000,-17.300,0.579
'0:00.052',38.401,1.300,-14.200,-7.100,-15.800,0.579
'0:00.053',41.401,1.300,-13.700,-5.900,-14.300,0.579
'0:00.054',44.201,1.000,-12.900,-4.700,-12.700,0.579
'0:00.055',45.301,0.700,-11.800,-3.300,-11.000,0.579
'0:00.056',44.301,0.500,-10.400,-2.100,-9.500,0.579
'0:00.057',41.901,0.600,-9.100,-1.000,-8.500,0.579
'0:00.058',39.401,0.700,-8.300,-0.200,-8.200,0.579
'0:00.059',37.701,0.700,-8.200,0.300,-8.200,0.579
'0:00.060',37.101,0.400,-8.700,0.500,-8.300,0.822
'0:00.061',37.301,-0.100,-9.400,0.600,-7.800,0.822
'0:00.062',38.001,-0.700,-9.800,0.700,-6.900,0.822
'0:00.063',38.901,-0.900,-9.600,1.000,-5.900,0.822
'0:00.064',40.001,-0.500,-8.800,1.400,-5.300,0.822
'0:00.065',40.701,0.100,-8.000,2.000,-5.500,0.822
'0:00.066',40.401,0.800,-7.500,2.700,-6.500,0.822
'0:00.067',38.601,1.100,-7.600,3.200,-7.600,0.822
'0:00.068',35.601,1.000,-8.200,3.500,-8.300,0.822
'0:00.069',32.300,0.600,-8.700,3.400,-8.100,0.822
'0:00.070',30.100,0.400,-8.700,3.000,-7.300,0.579
'0:00.071',30.100,0.800,-8.000,2.200,-6.300,0.579
'0:00.072',32.000,1.800,-6.800,1.400,-5.800,0.579
'0:00.073',34.701,3.000,-5.500,0.600,-6.100,0.579
'0:00.074',36.401,3.900,-4.400,0.100,-7.000,0.579
'0:00.075',36.201,4.200,-3.800,-0.300,-7.900,0.579
'0:00.076',34.101,3.600,-3.400,-0.500,-8.400,0.579
'0:00.077',31.400,2.600,-3.200,-0.500,-8.300,0.579
'0:00.078',29.600,1.500,-2.900,-0.400,-7.900,0.579
'0:00.079',29.900,0.700,-2.800,-0.100,-7.400,0.579
'0:00.080',32.300,0.300,-3.000,0.300,-7.000,0.668
'0:00.081',35.901,0.200,-3.700,0.900,-6.800,0.668
'0:00.082',39.301,0.300,-4.600,1.400,-6.600,0.668
'0:00.083',41.401,0.400,-5.500,1.600,-6.300,0.668
'0:00.084',41.501,0.400,-5.800,1.400,-6.100,0.668
'0:00.085',39.801,0.300,-5.600,1.000,-6.100,0.668
'0:00.086',37.101,-0.100,-4.900,0.500,-6.400,0.668
'0:00.087',34.401,-0.900,-4.200,0.200,-6.900,0.668
'0:00.088',32.600,-1.800,-3.700,0.300,-7.100,0.668
'0:00.089',32.300,-2.500,-3.500,0.700,-6.800,0.668
'0:00.090',33.501,-2.500,-3.500,1.300,-6.200,0.680
